'gene','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Breast cancer','Breast cancer','Breast cancer','Breast cancer','Breast cancer'
'1560397_s_at',6.159692183,5.545275591,5.03735816,5.838185887,5.599451136,2.215631351,3.332113821,3.38212194,0.787483129,4.463738475,2.63922363,4.718995185,2.024739071,4.74577065,3.865537035,4.305086817,1.343890418,3.140563563,2.254322992,1.777693342,1.936193562,8.209891558,6.204801568,3.154210529,2.292871495,4.25154753,3.2380118,2.937444873,4.42112264,2.884701085,3.19444706,2.640410721,1.496146049,2.63956248,1.309260251,2.813510734,2.723640805,3.095342049,4.512469392,3.237394109,2.929833828,2.796660817,1.41494606,2.558241992,2.535050419,1.941430375,1.357862255,2.812430601,2.606642604,1.266016365,1.440647361,3.391210155,0.067757138,1.886573194,1.621895849,2.80136045,2.355090608,2.670768059,2.785920275,3.034732109,1.978769656,2.982587875,2.544640442,4.663349936,4.059202755,4.312310281
'1560659_at',5.446825904,5.752083168,4.781135497,5.537992711,4.871106675,4.65282468,3.941276677,5.086944525,6.084499487,5.825197985,5.247482787,6.00074754,5.23485419,5.767567023,4.964113685,5.352891167,4.795694047,5.915135719,5.490806272,5.306640179,5.998383805,6.648059217,5.022343329,5.532941298,8.327864069,8.067916685,7.259769984,7.689202583,8.137343116,8.368045529,8.608469912,8.197019293,8.237904715,7.839159181,7.130448794,6.188460589,5.90345775,5.583365699,5.84058503,5.218756422,5.888106582,7.814488478,5.818504723,6.235100394,6.278462069,6.710199058,5.760807249,6.762571726,6.410291306,6.009121023,3.646917894,4.668039876,4.07383337,3.950162527,4.301149856,1.441470558,2.9671243,1.210945731,3.877129697,3.777560386,4.853192434,5.242183538,4.750708372,5.111029247,4.324372138,4.449760569
'1560818_at',7.009187366,7.196271672,7.024379679,7.001184443,7.312102847,5.800104198,6.374986242,5.600465271,5.422175884,5.64311514,5.204153117,5.836672524,4.834093076,6.162517188,5.516332861,5.562604799,5.474551411,4.674898843,5.097463367,3.886042642,6.022540934,6.625876889,7.115349123,7.125941194,5.616578515,5.089917934,5.600084544,4.759254423,2.53733738,5.609980937,4.655786183,4.475643762,5.351098454,5.139707384,3.732032464,4.759049495,4.304044176,5.767280025,4.739941525,4.220746318,1.652391423,4.417710787,5.060958787,4.588729095,5.122148366,3.439588488,5.274439199,3.420923187,5.434598306,4.32609103,5.53345432,4.571427212,5.085626887,5.440478125,4.395294792,5.766464686,4.867190596,4.927953224,4.511495607,5.623169464,5.300254709,6.169793176,6.439764214,6.556156052,5.791699159,6.265880448
'1560924_at',4.053714493,1.140361074,3.127676118,3.498691805,4.609171976,3.745234987,4.644605863,4.576304261,6.657444996,4.900118124,4.477569696,4.034163827,2.920062045,3.303669112,5.009842264,3.62964167,4.908190079,4.526517783,3.672221013,1.702251555,4.886206359,5.422780992,6.140718265,6.214717827,6.287152226,6.064059925,7.025597002,6.011982926,6.068162099,5.835537408,6.804709071,5.993821063,6.197913955,5.885386461,6.530243813,6.124634709,6.3563637,5.839454374,6.332412896,6.506690035,6.854791089,5.712637007,6.133187862,5.722687292,5.958811088,6.115893711,6.745805995,6.836314196,6.255013289,6.948065233,5.19434265,4.708802653,4.142100164,6.098345006,5.46290985,4.539683663,4.62290509,4.960627915,4.348756037,4.34243608,4.648628753,4.025135107,3.124276815,5.0298305,4.142859799,3.823440391
'1561880_a_at',3.661019749,4.782421715,4.322583688,2.161850183,3.492025125,8.801194168,6.952258627,6.912324674,2.595771194,2.875556993,5.722814454,5.727551858,6.481621222,5.834123036,5.858727451,5.927402894,6.148462385,4.832040712,6.081485375,4.795083496,6.006408528,4.892311758,5.267412239,3.911669984,4.095786103,2.8356915,4.316191304,0.401664516,1.880731765,1.836800858,1.33262875,1.941226297,1.97858826,1.807829419,0.687789917,4.874935669,4.27573001,0.376377888,2.311270985,4.100098901,2.289904247,2.598374511,2.429665239,0.592789233,2.519704447,1.09171724,2.978135017,2.4100938,1.607285505,2.476759737,1.515259151,1.786048827,0.662507959,2.630568467,0.561513448,0.929089413,4.200912882,1.986576756,2.347666475,2.00778354,1.70204772,3.090761275,2.498578071,4.096068269,1.941430375,3.489067841
'1562497_at',4.617268512,5.228581507,4.45951798,5.95664568,5.150533563,4.564772764,4.354391028,4.690836079,5.140705094,5.014703416,5.060850638,5.362678498,5.070236859,5.017492497,5.063040131,4.924815306,4.882258398,5.573952375,5.004761397,4.936682304,5.165541322,5.570053096,5.072619844,4.8275143,5.910391096,6.157298028,4.044084611,5.710205594,5.482759578,5.362788126,6.048839866,5.419914275,6.099410913,4.940604572,6.036656706,4.961908187,5.973832628,5.77516229,4.808242776,4.971610993,5.200627388,5.519349119,5.678037289,5.152514684,5.704862884,4.539490279,5.14381625,4.411652387,4.670809233,5.022561212,5.318597855,5.91877544,5.69873813,5.681511267,5.991591416,4.995870483,6.020874955,5.646534283,5.215604742,5.573161616,5.64311514,5.044912832,5.080514494,4.879513285,5.825337705,4.274955546
'1562736_at',-1.23645873,3.969965588,3.138485679,0.330950735,3.169946291,4.759649201,5.784685483,5.29517061,2.270892151,5.971491058,5.839323459,5.689229968,5.901768092,5.83050576,5.855343296,6.193252806,5.721864108,5.808821058,5.969036089,5.768370966,5.538481238,3.136380256,3.783464207,5.412041335,4.132478176,2.47852031,3.972345892,2.861765162,0.176017949,4.313913463,4.32342382,3.674990887,4.107817256,1.972789273,3.17949875,2.724747348,3.3731473,2.914455611,3.690901466,4.283287802,2.611679762,2.999741651,3.356632478,3.281334702,2.705410523,3.781662498,3.400816443,4.336794109,2.622840933,3.463107532,0.355392764,3.951320714,2.455711862,3.327814859,3.633064112,3.079704942,1.197695758,1.214530744,3.598759696,4.492678519,1.094100144,1.06423805,1.222785897,-0.47766777,2.828568627,7.038707
'1566243_at',6.70543266,4.348846912,5.634762825,5.936267527,4.542605221,5.304541567,5.263362747,4.921282294,4.267663052,4.33029111,6.320961084,4.952078083,4.955981457,4.387927156,4.571039098,4.629167092,4.379134303,5.050359351,4.420654211,4.651631974,0.979585958,3.539038532,3.518323874,3.0229586,4.052864398,3.360866701,3.483662973,3.916052009,4.84755446,3.261707065,5.170756794,3.007460293,2.829349091,4.111253475,3.866575989,4.022476449,4.873383892,3.111366977,4.093924892,3.321133715,2.676198438,4.039836168,3.819270858,4.325229466,3.990892317,4.417813514,3.58620236,4.284966534,4.757821701,3.116643242,3.148482148,2.888903044,4.192796062,2.31729571,3.757702958,5.176237795,5.816283173,4.245186156,4.337728584,3.309580963,5.252532653,4.446062419,2.985143253,4.370129343,4.916775759,3.942813783
'1566425_at',4.827720886,3.13426398,3.963895204,4.993504248,3.261583281,4.302533058,4.285154845,4.80073174,4.914342194,1.589193244,3.891013768,2.844600398,4.525650822,1.76877758,3.468275205,4.034346597,1.866948483,2.332987187,1.797623771,3.291911055,2.027523723,4.266838975,5.136682159,4.31409605,4.28160276,2.78213402,1.182396382,4.72635426,2.038381921,2.533495951,2.165113336,3.785546426,5.496146955,3.368268057,3.578435865,3.705739847,1.092604976,0.820299648,4.803059912,2.558241992,1.422740671,1.114090299,3.483550711,4.44233527,1.56487911,3.629845849,0.853353979,4.334711028,5.064973022,2.140007284,1.507687285,2.338966441,4.493446638,4.357686028,4.153575355,3.442880375,3.956386406,1.505207713,3.198122543,2.541356176,4.354103011,4.775912466,4.613574108,4.635358154,5.010793347,4.74103415
'1568609_s_at',5.884820556,5.344505899,6.528389341,5.649380349,5.612222499,5.346953472,5.574473723,6.005682269,5.743892376,6.590925921,6.41115856,6.765693284,6.526707651,6.788211703,6.915543213,6.523347738,6.696321968,6.528019488,6.300156714,6.153050038,5.229708346,5.702600587,4.888395598,4.444982508,4.776426221,5.15552687,5.351695932,5.502584105,5.627355332,4.193724121,4.871316056,5.723633075,4.935521407,6.137866967,5.74674062,6.439051545,5.459614456,6.28444133,7.461080261,7.28884414,7.426282315,6.167530357,6.964210958,7.736146165,6.723318494,6.474508568,7.061868525,6.837640336,5.587293908,6.412029123,-1.554933275,0.092943128,3.116391792,-1.063501385,1.520253163,-0.440535865,-0.981919497,3.409411416,0.296133215,1.320513663,1.534750482,4.611726101,4.331703954,5.261040665,5.011017519,5.778297016
